DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2019,64721,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2020,65399,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2021,66626,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2022,66961,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2011,62445,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2012,62162,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2013,63429,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2014,62294,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2015,61802,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2016,62509,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2017,64616,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2018,65745,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2019,67302,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2020,68350,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2021,70419,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,M,BE,2022,70309,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2011,60716,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2012,60032,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2013,59951,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2014,60774,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2015,60205,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2016,59330,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2017,60125,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2018,61663,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2019,62831,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2020,65087,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2021,65725,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,F,BE,2022,66975,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2011,63268,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2012,62702,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2013,62405,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2014,63678,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2015,62591,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2016,62221,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2017,62829,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2018,64878,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2019,66106,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2020,67687,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2021,68590,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y13,M,BE,2022,70807,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2011,60838,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,F,BE,2012,61010,
