"","ATCCode","DateUsedForStatisticsYear","Sector","ReportQuarter","TOTAL_VOLUME","TOTAL_VOLUME_UNIT","TOTAL_DDD"
"257","D01BA02",2020,"AC",2,402401422.5,"mg",1609605.69
"258","D01BA02",2020,"AC",3,471688685,"mg",1886754.74
"259","D01BA02",2020,"AC",4,412245387.5,"mg",1648981.55
"260","D01BA02",2020,"HC",1,1563227.5,"mg",6252.91
"261","D01BA02",2020,"HC",2,1432180,"mg",5728.72
"262","D01BA02",2020,"HC",3,1675415,"mg",6701.66
"263","D01BA02",2020,"HC",4,1587972.5,"mg",6351.89
"264","D01BA02",2021,"AC",1,450784715,"mg",1803138.86
"265","D01BA02",2021,"AC",2,555136400,"mg",2220545.6
"266","D01BA02",2021,"AC",3,519932850,"mg",2079731.4
"267","D01BA02",2021,"AC",4,455441067.5,"mg",1821764.27
"268","D01BA02",2021,"HC",1,1571055,"mg",6284.22
"269","D01BA02",2021,"HC",2,1676095,"mg",6704.38
"270","D01BA02",2021,"HC",3,1697557.5,"mg",6790.23
"271","D01BA02",2021,"HC",4,1581730,"mg",6326.92
"272","J01AA01",2012,"HC",1,134016,"mg",223.36
"273","J01AA01",2012,"HC",2,264384,"mg",440.64
"274","J01AA01",2012,"HC",3,309984,"mg",516.64
"275","J01AA01",2012,"HC",4,216048,"mg",360.08
"276","J01AA01",2013,"HC",1,163104,"mg",271.84
"277","J01AA01",2013,"HC",2,53856,"mg",89.76
"278","J01AA01",2013,"HC",3,143232,"mg",238.72
"279","J01AA01",2013,"HC",4,169536,"mg",282.56
"280","J01AA01",2014,"HC",1,68832,"mg",114.72
"281","J01AA02",2012,"AC",1,97724160,"mg",977241.6
"282","J01AA02",2012,"AC",2,73748040,"mg",737480.4
"283","J01AA02",2012,"AC",3,69451800,"mg",694518
"284","J01AA02",2012,"AC",4,92943580,"mg",929435.8
"285","J01AA02",2012,"HC",1,1052538,"mg",10525.38
"286","J01AA02",2012,"HC",2,994296,"mg",9942.96
"287","J01AA02",2012,"HC",3,776016,"mg",7760.16
"288","J01AA02",2012,"HC",4,795294,"mg",7952.94
"289","J01AA02",2013,"AC",1,95179260,"mg",951792.6
"290","J01AA02",2013,"AC",2,75204600,"mg",752046
"291","J01AA02",2013,"AC",3,75782940,"mg",757829.4
"292","J01AA02",2013,"AC",4,90078391,"mg",900783.91
"293","J01AA02",2013,"HC",1,889648,"mg",8896.48
"294","J01AA02",2013,"HC",2,768776,"mg",7687.76
"295","J01AA02",2013,"HC",3,795396,"mg",7953.96
"296","J01AA02",2013,"HC",4,964614,"mg",9646.14
"297","J01AA02",2014,"AC",1,80945160,"mg",809451.6
"298","J01AA02",2014,"AC",2,72782100,"mg",727821
"299","J01AA02",2014,"AC",3,71188860,"mg",711888.6
"300","J01AA02",2014,"AC",4,82803600,"mg",828036
"301","J01AA02",2014,"HC",1,865164,"mg",8651.64
"302","J01AA02",2014,"HC",2,797236,"mg",7972.36
"303","J01AA02",2014,"HC",3,892192,"mg",8921.92
"304","J01AA02",2014,"HC",4,987460,"mg",9874.6
"305","J01AA02",2015,"AC",1,87004980,"mg",870049.8
"306","J01AA02",2015,"AC",2,72024240,"mg",720242.4
"307","J01AA02",2015,"AC",3,72228240,"mg",722282.4
"308","J01AA02",2015,"AC",4,80557560,"mg",805575.6
"309","J01AA02",2015,"HC",1,940648,"mg",9406.48
"310","J01AA02",2015,"HC",2,960126,"mg",9601.26
"311","J01AA02",2015,"HC",3,910146,"mg",9101.46
"312","J01AA02",2015,"HC",4,963186,"mg",9631.86
"313","J01AA02",2016,"AC",1,77669202,"mg",776692.02
"314","J01AA02",2016,"AC",2,76784745,"mg",767847.45
"315","J01AA02",2016,"AC",3,75869180,"mg",758691.8
"316","J01AA02",2016,"AC",4,81129578.9,"mg",811295.789
"317","J01AA02",2016,"HC",1,945157,"mg",9451.57
"318","J01AA02",2016,"HC",2,860015,"mg",8600.15
"319","J01AA02",2016,"HC",3,934654,"mg",9346.54
"320","J01AA02",2016,"HC",4,958793,"mg",9587.93
"321","J01AA02",2017,"AC",1,75757777,"mg",757577.77
"322","J01AA02",2017,"AC",2,70766660,"mg",707666.6
"323","J01AA02",2017,"AC",3,73130262,"mg",731302.62
"324","J01AA02",2017,"AC",4,76085099,"mg",760850.99
"325","J01AA02",2017,"HC",1,919100,"mg",9191
"326","J01AA02",2017,"HC",2,868397,"mg",8683.97
"327","J01AA02",2017,"HC",3,898395,"mg",8983.95
"328","J01AA02",2017,"HC",4,884154,"mg",8841.54
"329","J01AA02",2018,"AC",1,79406705,"mg",794067.05
"330","J01AA02",2018,"AC",2,75511236,"mg",755112.36
"331","J01AA02",2018,"AC",3,71633442,"mg",716334.42
"332","J01AA02",2018,"AC",4,77560627,"mg",775606.27
"333","J01AA02",2018,"HC",1,961356.4,"mg",9613.564
"334","J01AA02",2018,"HC",2,886881,"mg",8868.81
"335","J01AA02",2018,"HC",3,880720,"mg",8807.2
"336","J01AA02",2018,"HC",4,869913,"mg",8699.13
"337","J01AA02",2019,"AC",1,74414881,"mg",744148.81
"338","J01AA02",2019,"AC",2,76498511,"mg",764985.11
"339","J01AA02",2019,"AC",3,76399935,"mg",763999.35
"340","J01AA02",2019,"AC",4,77611228,"mg",776112.28
"341","J01AA02",2019,"HC",1,895769,"mg",8957.69
"342","J01AA02",2019,"HC",2,905869,"mg",9058.69
"343","J01AA02",2019,"HC",3,976670,"mg",9766.7
"344","J01AA02",2019,"HC",4,1007172,"mg",10071.72
"345","J01AA02",2020,"AC",1,71409727,"mg",714097.27
"346","J01AA02",2020,"AC",2,43067915,"mg",430679.15
"347","J01AA02",2020,"AC",3,59400524,"mg",594005.24
"348","J01AA02",2020,"AC",4,58181555,"mg",581815.55
"349","J01AA02",2020,"HC",1,1114171.4,"mg",11141.714
"350","J01AA02",2020,"HC",2,935159,"mg",9351.59
"351","J01AA02",2020,"HC",3,857086,"mg",8570.86
"352","J01AA02",2020,"HC",4,908697,"mg",9086.97
"353","J01AA02",2021,"AC",1,51061358,"mg",510613.58
"354","J01AA02",2021,"AC",2,71277316,"mg",712773.16
"355","J01AA02",2021,"AC",3,84302882,"mg",843028.82
"356","J01AA02",2021,"AC",4,73685964,"mg",736859.64
"357","J01AA02",2021,"HC",1,762954,"mg",7629.54
"358","J01AA02",2021,"HC",2,813151,"mg",8131.51
"359","J01AA02",2021,"HC",3,930614,"mg",9306.14
"360","J01AA02",2021,"HC",4,1123132,"mg",11231.32
"361","J01AA04",2012,"AC",1,536605272,"mg",894342.12
"362","J01AA04",2012,"AC",2,525381192,"mg",875635.32
"363","J01AA04",2012,"AC",3,422770824,"mg",704618.04
"364","J01AA04",2012,"AC",4,518239512,"mg",863732.52
"365","J01AA04",2012,"HC",1,1607418,"mg",2679.03
"366","J01AA04",2012,"HC",2,1761336,"mg",2935.56
"367","J01AA04",2012,"HC",3,1341198,"mg",2235.33
"368","J01AA04",2012,"HC",4,1708092,"mg",2846.82
"369","J01AA04",2013,"AC",1,555506280,"mg",925843.8
"370","J01AA04",2013,"AC",2,542234448,"mg",903724.08
"371","J01AA04",2013,"AC",3,440146728,"mg",733577.88
"372","J01AA04",2013,"AC",4,545929221.6,"mg",909882.036
"373","J01AA04",2013,"HC",1,1820394,"mg",3033.99
"374","J01AA04",2013,"HC",2,1483488,"mg",2472.48
"375","J01AA04",2013,"HC",3,1536120,"mg",2560.2
"376","J01AA04",2013,"HC",4,1658826,"mg",2764.71
"377","J01AA04",2014,"AC",1,598200624,"mg",997001.04
"378","J01AA04",2014,"AC",2,540083880,"mg",900139.8
"379","J01AA04",2014,"AC",3,447746544,"mg",746244.24
"380","J01AA04",2014,"AC",4,539843976,"mg",899739.96
"381","J01AA04",2014,"HC",1,1788570,"mg",2980.95
"382","J01AA04",2014,"HC",2,1578042,"mg",2630.07
"383","J01AA04",2014,"HC",3,1216350,"mg",2027.25
"384","J01AA04",2014,"HC",4,1532754,"mg",2554.59
"385","J01AA04",2015,"AC",1,555669072,"mg",926115.12
"386","J01AA04",2015,"AC",2,469680624,"mg",782801.04
